handle,displayName,originalTitle,category,shapeKey,basePrice,imageCount,variantCount,collections,sourceAvailability,needsReview,migrationStatus
handmade-by-order-luxury-jungle-and-bangal-tiger-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-pendant-shade-all-shapes-and-sizes,"Luxury Jungle And Bangal Tiger On Velvet Shade","Handmade by order luxury jungle and bangal tiger on velvet drum lamp shade pendant light lamp shade pendant shade all shapes and sizes",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-light-blue-marble-and-gold-wave-abstract-pattern-velvet-cushion-covers-bespoke-sizes-available,"luxury light blue marble and gold wave abstract pattern velvet Cushion","Handmade by order luxury light blue marble and gold wave abstract pattern velvet Cushion covers bespoke sizes available",CUSHION,,34.99,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-light-blue-moroccan-geometric-tile-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-size-available-copy,"Abstract Jade Green Paint Abstract Patch Pattern Drum Velvet","Handmade by order abstract jade green paint abstract patch pattern drum velvet lamp shade pendant light lamp shade all sizes and shapes",LAMPSHADE,drum,24.99,7,250,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-metal-oxidation-rusting-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-spice-copper-teal-all-shapes-and-size,"Luxury Metal Oxidation Rusting Print Velvet Spice Copper Teal","Handmade by order luxury metal oxidation rusting print velvet drum lamp shade pendant light lamp shade spice copper teal all shapes and size",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-mink-gold-foild-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Mink Gold Foild Velvet","Handmade by order luxury mink gold foild velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|foil-lined-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-mink-gold-foiled-velvet-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Mink Gold Foiled Velvet","Handmade by order luxury mink gold foiled velvet rectangular lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,rectangular,34.99,7,80,"foil-lined-lampshades|printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multi-colour-beach-pebble-stone-on-velvet-drum-lamp-shade-ceiling-lamp-shade-all-shapes-and-sizes-available,"Luxury Multi Colour Beach Pebble Stone On Velvet Ceiling","Handmade by order luxury multi colour beach pebble stone on velvet drum lamp shade ceiling lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,7,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multi-colour-brush-strokes-abstract-art-print-velvet-cushion-covers-any-size-available-copy,"Pink Blue Gold Foil Effect Abstract Paint Art Velvet Cushion Covers","Handmade by order pink blue gold foil effect abstract paint art velvet cushion covers all shapes sizes available",CUSHION,,34.99,5,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multi-colour-brush-strokes-abstract-art-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Multi Colour Brush Strokes Abstract Art Print Velvet","Handmade by order luxury multi colour brush strokes abstract art print velvet drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multi-colour-pink-gold-brush-strokes-abstract-art-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes,"Luxury Multi Colour Pink Gold Brush Strokes Abstract Art Print Velvet","Handmade by order luxury multi colour pink gold brush strokes abstract art print velvet drum lamp shade pendant light lamp shade all shapes",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multi-coloured-zigzag-geometric-pattern-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-availa,"Luxury Multi Coloured Zigzag Geometric Pattern Velvet Availa","Handmade by order luxury multi coloured zigzag geometric pattern velvet drum lamp shade pendant light lamp shade all shapes and sizes availa",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-multicoloured-abstract-art-leopard-print-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail-1,"Luxury Multicoloured Abstract Art Leopard Print Drum Velvet Avail","Handmade by order luxury multicoloured abstract art leopard print drum velvet lamp shade pendant light lamp shade all shapes and sizes avail",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-mushroom-plants-leaves-in-jungle-pattern-velvet-cushion-covers-bespoke-sizes-available-copy,"Peacock Teal Blue Digital Flower Leaves Plant Pattern On Velvet","Handmade by order peacock teal blue digital flower leaves plant pattern on velvet cushions covers only all sizes available on demand",CUSHION,,34.99,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-neutral-gold-linen-look-pattern-leopard-print-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Neutral Gold Linen Look Pattern Leopard Print Drum Velvet","Handmade by order luxury neutral gold linen look pattern leopard print drum velvet lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|our-collections|linen-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-neutral-gold-linen-look-pattern-leopard-print-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-1,"Luxury Neutral Gold Linen Look Pattern Leopard Print Drum Velvet","Handmade by order luxury neutral gold linen look pattern leopard print drum velvet lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-olive-dark-green-and-gold-paint-abstract-pattern-velvet-cushion-covers-bespoke-sizes-available-copy,"Luxury Dark Blue Gold Marble And Gold Wave Abstract Pattern Velvet","Handmade by order luxury dark blue gold marble and gold wave abstract pattern velvet Cushion covers bespoke sizes available",CUSHION,,34.99,1,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-olive-dark-green-gold-abstract-paint-strock-art-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes,"Luxury Olive Dark Green Gold Abstract Paint Strock Art Velvet","Handmade by order luxury olive dark green gold abstract paint strock art velvet drum lamp shade pendant light lamp shade all shapes",LAMPSHADE,drum,24.99,7,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-orange-yellow-multicoloured-retro-geometric-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Orange Yellow Multicoloured Retro Geometric Pattern","Handmade by order luxury orange yellow multicoloured retro geometric pattern drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-peacock-feathers-print-in-blue-navy-velvet-fabric-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Peacock Feathers Print In Blue Navy Velvet","Handmade by order luxury peacock feathers print in blue navy velvet fabric drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-petrol-paint-art-black-grey-floral-flowers-plant-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Petrol Paint Art Black Grey Floral Flowers Plant","Handmade by order luxury petrol paint art black grey floral flowers plant drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-picasso-abstract-faces-art-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Picasso Abstract Faces Art Print On Velvet","Handmade by order luxury picasso abstract faces art print on velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-blue-checkerboard-cube-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Pink Blue Checkerboard Cube Pattern On Velvet","Handmade by order luxury pink blue checkerboard cube pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-blue-checkerboard-cube-pattern-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available-1,"Luxury Pink Blue Checkerboard Cube Pattern On Velvet","Handmade by order luxury pink blue checkerboard cube pattern on velvet drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-peacock-feathers-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available,"Luxury Pink Peacock Feathers On Velvet","Handmade by order luxury pink peacock feathers on velvet drum lamp shade pendant light lamp shade all sizes and shapes available",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-red-black-geometric-print-abstract-art-design-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Luxury Pink Red Black Geometric Print Abstract Art Design Velvet Sizes","Handmade by order luxury pink red black geometric print abstract art design velvet drum lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-teal-blue-leopard-skin-dots-on-velvet-rounded-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-s,"Luxury Pink Teal Blue Leopard Skin Dots On Velvet And S","Handmade by order luxury pink teal blue leopard skin dots on velvet rounded rectangular lamp shade pendant light lamp shade all shapes and s",LAMPSHADE,rectangular,34.99,5,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pink-teal-blue-leopard-skin-dots-on-velvet-rounded-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-s-copy,"Luxury Abstract Wave Pattern Multicoloured On Velvet Shade","Handmade by order luxury abstract wave pattern multicoloured on velvet rounded rectangular lamp shade pendant light shade all shapes and sizes",LAMPSHADE,rectangular,34.99,5,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-pumpkin-orange-velvet-and-fox-in-forest-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail,"Luxury Pumpkin Orange Velvet And Fox In Forest Pattern Avail","Handmade by order luxury pumpkin orange velvet and fox in forest pattern drum lamp shade pendant light lamp shade all shapes and sizes avail",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-purple-gold-stones-lava-abstract-geometric-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Luxury Purple Gold Stones Lava Abstract Geometric Pattern Drum Velvet","Handmade by order luxury purple gold stones lava abstract geometric pattern drum velvet lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-purple-pink-floral-plant-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Purple Pink Floral Plant Pattern","Handmade by order luxury purple pink floral plant pattern drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,13,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-resin-wooden-teal-turquoise-blue-marble-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail,"Luxury Resin Wooden Teal Turquoise Blue Marble Pattern Avail","Handmade by order luxury resin wooden teal turquoise blue marble pattern drum lamp shade pendant light lamp shade all shapes and sizes avail",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-royal-blue-gold-feathers-pattern-on-velvet-drum-lamp-shade-pendant-light-shade-all-shapes-and-sizes,"Luxury Royal Blue Gold Feathers Pattern On Velvet Shade","Handmade by order luxury royal blue gold feathers pattern on velvet drum lamp shade pendant light shade all shapes and sizes",LAMPSHADE,drum,24.99,6,250,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-royal-blue-mushroom-fantasty-jungle-village-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Royal Blue Mushroom Fantasty Jungle Village Pattern","Handmade by order luxury royal blue mushroom fantasty jungle village pattern drum lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-scandi-floral-black-and-cream-combination-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available,"Luxury Scandi Floral Black And Cream Combination","Handmade by order luxury scandi floral black and cream combination drum lamp shade pendant light lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-teal-gold-wave-abstract-pattern-oval-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-available-on-demand,"Luxury Teal Gold Wave Abstract Pattern","Handmade by order luxury teal gold wave abstract pattern OVAL lamp shade pendant light lamp shade all sizes and shapes available on demand",LAMPSHADE,oval,27.99,7,100,"our-collections|oval-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-teal-golden-wave-abstract-art-print-velvet-candle-clip-small-coolie-lamp-shade-for-walls-and-small-table-lamps,"luxury teal golden wave abstract art print velvet CANDLE CLIP small for","handmade by order luxury teal golden wave abstract art print velvet CANDLE CLIP small coolie lamp shade for walls and small table lamps",LAMPSHADE,coolie,24.99,4,1,"coolie-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-teal-golden-wave-pattern-abstract-art-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes,"Luxury Teal Golden Wave Pattern Abstract Art Print On Velvet","Handmade by order luxury teal golden wave pattern abstract art print on velvet DRUM lamp shade pendant light lamp shade all shapes and sizes",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-velevt-black-and-white-pearl-wave-marble-effect-with-pearl-beads-print-on-velvet-drum-lamp-shade-pendant-light-shad,"Luxury Velevt Black And White Pearl Wave Marble Effect With Pearl Beads","Handmade by order luxury velevt black and white pearl wave marble effect with pearl beads print on velvet drum lamp shade pendant light shad",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-water-coolers-floral-abstract-art-print-on-velvet-drum-lamp-shade-all-shapes-and-sizes-available,"Luxury Water Coolers Floral Abstract Art Print On Velvet","Handmade by order luxury water coolers floral abstract art print on velvet drum lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-water-coolers-floral-abstract-art-print-on-velvet-drum-lamp-shade-all-shapes-and-sizes-available-1,"Luxury Water Coolers Floral Abstract Art Print On Velvet","Handmade by order luxury water coolers floral abstract art print on velvet drum lamp shade all shapes and sizes available",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-white-blue-paint-brush-strips-strokes-art-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-sizes,"Luxury White Blue Paint Brush Strips Strokes Art Print Velvet Sizes","Handmade by order luxury white blue paint brush strips strokes art print velvet drum lamp shade pendant light lamp shade all shapes sizes",LAMPSHADE,drum,24.99,11,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-luxury-white-grey-gold-wave-marble-abstract-art-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-linin,"Luxury White Grey Gold Wave Marble Abstract Art Velvet Linin","Handmade by order luxury white grey gold wave marble abstract art velvet drum lamp shade pendant light lamp shade all shapes and sizes linin",LAMPSHADE,drum,24.99,12,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-multi-rainbow-coloured-abstract-feathers-pattern-velvet-rounded-rectangular-shape-lamp-shade-pendant-shade-all-sizes-shapes-available-copy,"Luxury Light Blue Moroccan Geometric Tile Pattern","Handmade by order luxury light blue moroccan geometric tile pattern ROUNDED RECTANGULAR  lamp shade pendant light lamp shade all shapes and size available",LAMPSHADE,rectangular,34.99,6,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-multicoloured-paint-art-on-antique-wooden-panels-print-on-velvet-cushions-cover-all-sizes-copy,"Luxury Black Gold Teal Marble Rasin Geometric Abstract Art Velvet","Handmade by order luxury black gold teal marble rasin geometric abstract art velvet cushion cover all sizes available",CUSHION,,34.99,1,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-multicoloured-rainbow-coloured-abstract-feather-pattern-velvet-drum-shape-lamp-shade-pendant-shade-all-sizes-shapes-copy,"Luxury Light Blue Moroccan Geometric Tile Pattern","Handmade by order luxury light blue moroccan geometric tile pattern DRUM lamp shade pendant light lamp shade all shapes and size available",LAMPSHADE,drum,24.99,7,250,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-multicoloured-rainbow-peacock-feathers-print-on-velvet-rounded-rectangular-shape-lamp-shade-pendant-lamp-light-shade,"Multicoloured Rainbow Peacock Feathers Print On Velvet Rounded","Handmade by order multicoloured rainbow peacock feathers print on velvet rounded rectangular shape lamp shade pendant lamp light shade",LAMPSHADE,rectangular,34.99,7,80,"printed-lampshades|rectangular-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-orange-teal-retro-geometric-abstract-print-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-avail,"Orange Teal Retro Geometric Abstract Print Velvet Avail","Handmade by order orange teal retro geometric abstract print velvet drum lamp shade pendant light lamp shade all shapes and sizes avail",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-peacock-teal-blue-digital-flower-leaves-plant-pattern-on-velvet-cushions-covers-only-all-sizes-available-on-demand-copy,"Luxury Multi Colour Brush Strokes Abstract Art Print Velvet Cushion","Handmade by order luxury multi colour brush strokes abstract art print velvet cushion covers any size available",CUSHION,,34.99,4,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
handmade-by-order-vertical-stripped-mustard-teal-black-colour-strip-velvet-drum-lamp-shade-and-pendant-light-shade-all-shapes-and-size,"Vertical Stripped Mustard Teal Black Colour Strip Velvet And Shade","Handmade by order vertical stripped mustard teal black colour strip velvet drum lamp shade and pendant light shade all shapes and size",LAMPSHADE,drum,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-yellow-gold-velvet-and-antique-green-gold-floral-print-double-sided-drum-lamp-shade-pendant-light-lights-lamp-shade,"Yellow Gold Velvet And Antique Green Gold Floral Print Double Sided","Handmade by order yellow gold velvet and antique green gold floral print double sided drum lamp shade pendant light lights lamp shade",LAMPSHADE,drum,24.99,9,24,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-yellow-teal-brown-wave-pattern-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-available-on-demand,"Yellow Teal Brown Wave Pattern Velvet","Handmade by order yellow teal brown wave pattern velvet drum lamp shade pendant light lamp shade all shapes and sizes available on demand",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-by-order-zigzag-patch-multicoloured-geometric-pattern-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-sizes-availabl,"Zigzag Patch Multicoloured Geometric Pattern Velvet Availabl","Handmade by order zigzag patch multicoloured geometric pattern velvet drum lamp shade pendant light lamp shade all shapes and sizes availabl",LAMPSHADE,drum,24.99,9,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-mink-grey-velvet-oval-lamp-shade-gold-foil-shimmer,"Handmade Mink Grey Velvet : Gold Foil Shimmer","Handmade Mink Grey Velvet Oval Lamp Shade: Gold Foil Shimmer",LAMPSHADE,oval,27.99,7,100,"foil-lined-lampshades|oval-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-navy-tropical-parrot-lampshade-made-to-order,"Handmade Navy & Tropical Parrot - Made to Order","Handmade Navy & Tropical Parrot Lampshade - Made to Order",LAMPSHADE,,24.99,7,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-satin-silk-lavender-purple-drum-lamp-shade,"Handmade Satin Silk Lavender Purple","Handmade Satin Silk Lavender Purple Drum Lamp Shade",LAMPSHADE,drum,24.99,8,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
handmade-velvet-drum-lamp-shade-multicolored-abstract-pendant-ceiling-light-1,"Handmade Velvet : Multicolored Abstract Ceiling Light","Handmade Velvet Drum Lamp Shade: Multicolored Abstract Pendant Ceiling Light",LAMPSHADE,drum,24.99,14,240,"drum-lampshades|our-collections|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
luxury-velvet-lamp-shade-abstract-grey-gold-wave-pattern,"Luxury Velvet: Abstract Grey Gold Wave Pattern","Luxury Velvet Lamp Shade: Abstract Grey Gold Wave Pattern",LAMPSHADE,,24.99,10,240,"drum-lampshades|printed-lampshades|velvet-lampshades",available,no,IMAGES_DOWNLOADED
made-by-order-abstract-geometry-multicoloured-pattern-cushion-covers-any-size-on-demand-custom-size,"abstract geometry multicoloured Pattern cushion covers any size","Made by order abstract geometry multicoloured Pattern cushion covers any size on demand Custom Size",CUSHION,,34.99,3,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
made-by-order-copper-brwon-feathers-effect-pattern-velvet-cushion-covers-any-size-on-demand-custom-size-copy,"wave pattern orange metal rusting effect Pattern cushion covers any size","Made by order wave pattern orange metal rusting effect Pattern cushion covers any size on demand Custom Size",CUSHION,,45.00,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
made-by-order-large-black-and-golden-leaf-pattern-cushion-covers-any-size-on-demand-custom-size-copy,"Neutral Beige Leopard And Gold Effect Linen Look Pattern On Velvet","Handmade by order neutral beige leopard and gold effect linen look pattern on velvet cushion covers all shapes sizes available",CUSHION,,35.00,1,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
made-by-order-peacock-bird-multicoloured-effect-pattern-velvet-cushion-covers-any-size-on-demand-custom-size-copy,"large black and golden leaf Pattern cushion covers any size","Made by order large black and golden leaf Pattern cushion covers any size on demand Custom Size",CUSHION,,35.00,1,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
made-by-order-wave-pattern-abstract-multicoloured-pattern-cushion-covers-any-size-on-demand-custom-size-copy,"wave pattern abstract jade and gold paint art Pattern cushion covers","Made by order wave pattern abstract jade and gold paint art Pattern cushion covers any size on demand Custom Size",CUSHION,,35.00,2,2,"cushion-covers",available,no,IMAGES_DOWNLOADED
print-by-order-abstract-paint-strokes-in-navy-blue-gold-teal-combination-velvet-fabric-140cm,"Abstract Paint Strokes In Navy Blue Gold Teal Combination Velvet 140cm","Print by order abstract paint strokes in navy blue gold teal combination velvet fabric 140cm",FABRIC,,35.00,3,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-black-gold-large-palm-leaf-print-velvet-fabric-available-on-demand,"Black Gold Large Palm Leaf Print Velvet","Print by order black gold large palm leaf print velvet fabric available on demand",FABRIC,,29.99,2,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-abstract-paint-dry-peeling-art-velvet-fabric-140cm-wide,"Luxury Abstract Paint Dry Peeling Art Velvet","Print by order luxury abstract paint dry peeling art velvet fabric 140cm wide",FABRIC,,35.00,2,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-black-brown-grey-wooden-geometric-pattern-design-velvet-fabric-140cm-wide,"Luxury Black Brown Grey Wooden Geometric Pattern Design Velvet","Print by order luxury black brown grey wooden geometric pattern design velvet fabric 140cm wide",FABRIC,,35.00,3,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-black-petrol-art-floral-plant-pattern-velvet-fabric-140-cm-wide-sold-by-meter,"Luxury Black Petrol Art Floral Plant Pattern Velvet 140 Cm Wide","Print by order luxury black petrol art floral plant pattern velvet fabric 140 cm wide sold by meter",FABRIC,,35.00,2,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-blue-gold-wave-marble-effect-velvet-fabric-140cm-wide-sold-by-meter,"Luxury Blue Gold Wave Marble Effect Velvet","Print by order luxury blue gold wave marble effect velvet fabric 140cm wide sold by meter",FABRIC,,35.00,2,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-blue-space-light-geometric-art-print-velvet-on-black-velvet-fabric-150cm-wide,"Luxury Blue Space Light Geometric Art Print Velvet On Black Velvet","Print by order luxury blue space light geometric art print velvet on black velvet fabric 150cm wide",FABRIC,,35.00,3,1,"fabrics",available,no,IMAGES_DOWNLOADED
print-by-order-luxury-bottle-green-crocodile-skin-print-velvet-soft-fabric-140cm-wide,"Luxury Bottle Green Crocodile Skin Print Velvet Soft Fabric","Print by order luxury bottle green crocodile skin print velvet soft fabric 140cm wide",FABRIC,,35.00,3,1,"fabrics",available,no,IMAGES_DOWNLOADED
